A=3671 B=8839 C=6722 X=745631793 Y=9278789349 Z=79403376288 M=3421
A=3369 B=5973 C=5004 X=604922468 Y=1596286773 Z=24644076609 M=1832
A=9452 B=5030 C=6344 X=923945664 Y=9456463545 Z=48224576719 M=2534
A=6480 B=6472 C=9007 X=881713500 Y=6988266638 Z=76202652320 M=2630
A=5327 B=3393 C=8823 X=293412121 Y=6452700462 Z=63355860513 M=9572
A=7979 B=3256 C=8706 X=161046978 Y=3637886674 Z=88310837055 M=3546
A=9351 B=9769 C=5777 X=623869233 Y=2907759067 Z=44668520632 M=1926
A=3624 B=4549 C=7303 X=685736458 Y=4176972651 Z=36994465086 M=4238
A=2912 B=9985 C=6579 X=657601474 Y=7778703153 Z=65093338850 M=8991
A=2573 B=4593 C=5947 X=941810191 Y=4642508968 Z=55561314997 M=9529
A=4435 B=4627 C=9400 X=392524414 Y=2721491773 Z=85039007896 M=9199
A=8792 B=8961 C=8900 X=660273168 Y=6523441744 Z=66378516348 M=5527
A=3382 B=6965 C=5148 X=665540646 Y=2997870404 Z=29773567565 M=7500
A=2723 B=5541 C=7932 X=759741341 Y=2701611367 Z=69955639008 M=5580
A=9552 B=5354 C=5283 X=755605916 Y=7441132724 Z=42196083000 M=9353
A=6744 B=9658 C=5376 X=163961332 Y=1469679139 Z=76376853378 M=4636
A=4502 B=7373 C=5619 X=210763601 Y=5810287921 Z=74921750891 M=6012
A=6422 B=8406 C=9730 X=923019925 Y=4966772897 Z=90624421589 M=2113
A=2345 B=4226 C=6729 X=706318252 Y=2493483110 Z=81436032906 M=7661
A=5416 B=9428 C=7283 X=537004416 Y=2286519599 Z=11227995242 M=6116
A=7845 B=7510 C=8747 X=364425898 Y=8428717020 Z=24664320791 M=7100
A=5867 B=5741 C=6632 X=199109680 Y=9136059984 Z=34879435438 M=1023
A=9826 B=9668 C=8393 X=571260894 Y=9384301584 Z=14111799190 M=2385
A=9951 B=8506 C=7761 X=348645392 Y=6154538414 Z=24713359774 M=4025
A=3352 B=3227 C=6242 X=834517972 Y=6253776477 Z=53919291178 M=3038
A=9712 B=7011 C=8746 X=252261248 Y=6636407009 Z=30201736739 M=5664
A=8347 B=3334 C=5313 X=961108049 Y=7452801708 Z=49130366461 M=3615
A=2458 B=7398 C=5434 X=281049925 Y=2141855074 Z=24455874354 M=1469
A=5688 B=8503 C=9532 X=639127432 Y=3617803278 Z=93945782323 M=3843
A=3034 B=5197 C=9441 X=601572484 Y=3601211124 Z=29760696432 M=2282
A=4858 B=5990 C=6215 X=631377851 Y=9153674006 Z=77368295507 M=9312
A=5948 B=8933 C=9352 X=451763187 Y=1253834990 Z=81813216777 M=3010
A=2533 B=4215 C=8382 X=362376945 Y=8128526420 Z=17306138093 M=3107
A=7092 B=9087 C=6109 X=707993645 Y=8579024611 Z=43384815151 M=6489
A=6536 B=7453 C=8575 X=838384234 Y=2615248513 Z=49593648250 M=1766
A=2747 B=3242 C=7679 X=940501454 Y=8566009114 Z=84760503649 M=9467
A=8256 B=9265 C=7742 X=616807110 Y=9613483641 Z=15061456995 M=3889
A=6179 B=7301 C=6745 X=551933726 Y=5912556290 Z=48369942819 M=6428
A=5477 B=3375 C=5122 X=626388976 Y=3533805703 Z=78377925703 M=3995
A=7618 B=5400 C=9302 X=217030895 Y=5082355474 Z=88224107498 M=5960
A=2855 B=3087 C=9481 X=657822100 Y=8407616734 Z=35203641526 M=4182
A=2268 B=7238 C=8800 X=402581273 Y=5928984020 Z=73814701685 M=1853
A=9930 B=4529 C=9718 X=835440069 Y=5892983798 Z=62482583419 M=6415
A=3750 B=4616 C=5268 X=378953604 Y=3676985592 Z=28813655964 M=7938
A=5985 B=8643 C=8460 X=280344516 Y=2309883701 Z=34958350799 M=4282
A=7265 B=6074 C=9513 X=782157691 Y=2482228160 Z=27587220378 M=8035
A=5625 B=4592 C=9542 X=756118355 Y=4252631527 Z=44243464678 M=1759
A=9182 B=7509 C=7173 X=565311961 Y=8931698060 Z=11776557869 M=7103
A=6769 B=3399 C=7795 X=651715174 Y=3759529062 Z=37479448248 M=5709
A=8839 B=4941 C=6689 X=355665251 Y=3263522412 Z=19824985850 M=6972
A=5965 B=6578 C=7505 X=662390314 Y=5837208995 Z=21343119694 M=5108
A=3754 B=7597 C=8697 X=483107307 Y=3871981614 Z=36565629247 M=7134
A=8239 B=4659 C=8476 X=287059546 Y=8530194756 Z=99263376881 M=5730
A=8226 B=8411 C=7057 X=144160043 Y=4930081048 Z=55555080372 M=9429
A=2162 B=6904 C=6292 X=693283902 Y=7880196020 Z=61007881320 M=1466
A=4738 B=5832 C=7203 X=544975226 Y=6846615159 Z=84879760915 M=1450
A=5840 B=8653 C=5341 X=769629023 Y=9560512078 Z=25668172538 M=7161
A=2358 B=5453 C=7144 X=473211594 Y=8380082322 Z=29734784226 M=8914
A=9557 B=7062 C=9661 X=436829847 Y=1733466379 Z=62585710031 M=3440
A=9692 B=7396 C=6467 X=615629940 Y=2198260544 Z=37728961605 M=9841
A=3431 B=9229 C=9343 X=329972793 Y=8676955917 Z=51894645644 M=3507
A=9100 B=9062 C=5676 X=508441610 Y=4815526616 Z=11243324903 M=5830
A=2563 B=5402 C=6748 X=528233518 Y=6035530442 Z=43628936036 M=2751
A=5501 B=4662 C=8319 X=709800819 Y=4501824824 Z=63277866366 M=8755
A=7582 B=6926 C=6808 X=265383114 Y=9525838036 Z=93956767998 M=4286
A=8872 B=8070 C=8093 X=468814042 Y=5679621752 Z=43782360172 M=6400
A=6204 B=8787 C=5787 X=832376532 Y=1783135057 Z=64632057768 M=4454
A=2308 B=5738 C=7908 X=963705742 Y=6047911979 Z=69127215096 M=9649
A=3116 B=7210 C=7089 X=124934289 Y=8985918060 Z=58939997661 M=7782
A=8134 B=5820 C=5917 X=900391875 Y=2897594987 Z=24911627599 M=6839
A=9637 B=9931 C=6381 X=381865664 Y=5707844327 Z=49544434457 M=7858
A=7787 B=7463 C=5415 X=123690549 Y=1556502649 Z=93588165956 M=4165
A=5956 B=7491 C=5239 X=523522450 Y=2505106384 Z=46491758850 M=4240
A=4490 B=6193 C=9816 X=259793083 Y=8657992097 Z=24420820589 M=8495
A=7636 B=7374 C=6927 X=922821510 Y=7775058980 Z=34341348450 M=3636
A=4206 B=3414 C=9688 X=198611064 Y=3823755297 Z=88251933608 M=4191
A=2347 B=7257 C=7848 X=890802939 Y=7352808304 Z=95536591628 M=1785
A=8460 B=6693 C=9248 X=302018689 Y=5538739942 Z=95355538671 M=3969
A=9567 B=9989 C=8374 X=786351945 Y=6955330448 Z=49621545306 M=7192
A=7072 B=7377 C=5487 X=504019452 Y=8544328372 Z=66153552575 M=1217
A=8113 B=4905 C=8509 X=865416669 Y=9790149036 Z=85681661853 M=1728
A=3776 B=5808 C=7255 X=609586673 Y=1239686914 Z=23425313415 M=1437
A=9666 B=4702 C=7327 X=421973872 Y=5176053482 Z=48446272764 M=3361
A=9223 B=9263 C=7270 X=192369362 Y=3115102689 Z=43601060194 M=2662
A=5110 B=5592 C=7714 X=802453796 Y=4103656290 Z=70998818819 M=4755
A=2490 B=3246 C=6734 X=416503911 Y=8254907260 Z=70811441742 M=9606
A=6279 B=4013 C=8857 X=508747964 Y=3213407397 Z=25586625534 M=1671
A=6055 B=3871 C=7770 X=888786687 Y=9830448139 Z=67565848582 M=3511
A=5772 B=8809 C=7484 X=852108599 Y=5663331895 Z=20794921622 M=7431
A=6505 B=8879 C=9393 X=429087479 Y=8856464086 Z=69014541168 M=9535
A=5970 B=5845 C=8386 X=496318607 Y=4801958963 Z=90276503538 M=9909
A=9469 B=8539 C=6555 X=183904539 Y=9798113312 Z=26202410611 M=5023
A=8261 B=7009 C=5509 X=881089423 Y=1827346613 Z=76198575488 M=5920
A=6079 B=7573 C=5406 X=145829203 Y=2903935233 Z=18975005802 M=6933
A=6720 B=6454 C=9007 X=715362080 Y=8813311637 Z=55948527226 M=7274
A=4800 B=5426 C=7899 X=597347340 Y=7266963606 Z=71561367631 M=2307
A=2523 B=7727 C=8987 X=798287064 Y=1002770565 Z=76271899701 M=5960
A=7918 B=5283 C=8347 X=394088660 Y=3443624391 Z=73280202019 M=8917
A=7069 B=7846 C=5415 X=895992240 Y=6359543821 Z=43729287541 M=9414
A=7132 B=8989 C=9497 X=152494491 Y=8524245327 Z=60835770964 M=3590
A=8567 B=6279 C=9038 X=943686321 Y=1482535578 Z=65608340627 M=1848
A=6666 B=7291 C=9706 X=554030667 Y=6059819082 Z=98312952940 M=9924
A=9140 B=8616 C=9122 X=687430227 Y=4937078026 Z=53473078646 M=4746
A=2093 B=6179 C=9043 X=453629522 Y=7369299881 Z=17589564229 M=9857
A=8861 B=6715 C=7194 X=870650546 Y=3420179142 Z=52877219201 M=9042
A=4607 B=3777 C=8083 X=773118277 Y=5620780735 Z=92434913335 M=9904
A=7699 B=8473 C=5961 X=602395861 Y=2775426565 Z=53652299295 M=2320
A=5056 B=8961 C=7514 X=317409392 Y=7342245734 Z=34266953936 M=8077
A=4610 B=6142 C=8110 X=995183245 Y=5903380112 Z=27397381637 M=2498
A=5379 B=3925 C=7155 X=650680272 Y=7502514505 Z=72920802834 M=2535
A=8346 B=9665 C=8470 X=193731173 Y=5135056881 Z=71873129328 M=9242
A=9674 B=7694 C=8138 X=891104121 Y=4250691134 Z=76845900785 M=3139
A=9327 B=9340 C=8113 X=394859538 Y=7077713757 Z=39419987287 M=6078
A=3144 B=4727 C=8906 X=307133630 Y=5278663762 Z=10179856062 M=6742
A=2484 B=7120 C=6499 X=194736708 Y=3487790617 Z=59155214092 M=8111
A=8870 B=4381 C=6467 X=318805419 Y=6999683750 Z=60179557704 M=3991
A=9128 B=3587 C=6273 X=853798067 Y=3546465165 Z=83070543245 M=6403
A=8235 B=3783 C=6879 X=825925594 Y=6045833085 Z=60799936886 M=1834
A=9619 B=5891 C=6426 X=367565219 Y=1215935845 Z=47383253454 M=3089
A=5133 B=7051 C=8235 X=827703278 Y=7875518369 Z=39346258013 M=8161
A=9814 B=3696 C=6929 X=922641569 Y=3646686130 Z=22682347037 M=3186
A=2691 B=7228 C=9219 X=780456216 Y=5391429928 Z=46430000356 M=5112
A=4509 B=6897 C=9835 X=528758015 Y=7753691614 Z=15516652928 M=8863
A=4948 B=3031 C=5063 X=127876109 Y=1668142842 Z=91302162454 M=8305
A=8101 B=9804 C=5644 X=956316676 Y=3043475433 Z=69285982655 M=6255
A=7887 B=7893 C=7041 X=718793933 Y=8823287643 Z=65267243484 M=2356
A=5769 B=5429 C=6253 X=954714354 Y=9574320784 Z=30176679374 M=5988
A=4097 B=5570 C=9311 X=822985614 Y=5170870873 Z=98259223479 M=2674
A=8139 B=5088 C=7324 X=882303456 Y=2771597897 Z=46586643515 M=1467
A=4561 B=3620 C=5071 X=163687622 Y=4785393824 Z=73047899550 M=6665
A=5370 B=5695 C=6830 X=480456884 Y=8268382997 Z=65661420317 M=8820
A=4274 B=3738 C=9082 X=566650026 Y=3631579934 Z=17535361582 M=3059
A=3039 B=9220 C=5285 X=188574234 Y=3094941961 Z=31092525380 M=1750
A=8232 B=7771 C=8589 X=313817666 Y=4716647934 Z=82901558508 M=6352
A=7525 B=4676 C=9302 X=311172671 Y=2448331619 Z=78563993167 M=8421
A=6915 B=6433 C=8636 X=914581552 Y=2086534446 Z=67738512245 M=3183
A=2782 B=3607 C=6270 X=774594694 Y=9233356871 Z=93188521504 M=4393
A=3141 B=7811 C=7517 X=610939594 Y=9317346459 Z=11223468541 M=2394
A=5832 B=9061 C=5538 X=497888566 Y=6424493414 Z=57840560532 M=5671
A=9654 B=9935 C=5922 X=382149699 Y=1172402178 Z=49323717562 M=2018
A=7984 B=8035 C=6573 X=686259905 Y=6152847108 Z=15769774875 M=1690
A=7853 B=4069 C=6125 X=701834169 Y=3303684040 Z=86587960392 M=4445
A=7063 B=8711 C=6203 X=275775711 Y=8910204483 Z=25235735690 M=1575
A=5151 B=7188 C=5076 X=627624287 Y=4605835053 Z=32221899251 M=1737
A=8714 B=7159 C=7654 X=308522710 Y=2103763336 Z=69820102506 M=8408
A=4431 B=6946 C=6262 X=307791676 Y=1798302568 Z=56602832522 M=9763
A=4906 B=7928 C=5277 X=615614681 Y=7718625069 Z=96939885961 M=5319
A=4342 B=7119 C=7831 X=381662304 Y=6139755227 Z=66671317665 M=1360
A=3367 B=9167 C=6723 X=745343189 Y=9689510300 Z=41026730700 M=2170
A=2710 B=3310 C=6677 X=792372955 Y=6184461533 Z=36738467435 M=2844
A=9592 B=4481 C=9874 X=764834836 Y=6106042180 Z=20984175299 M=5863
A=5989 B=8972 C=6984 X=588697154 Y=2816534378 Z=68078673454 M=3769
A=7097 B=5733 C=6858 X=914890166 Y=8598569368 Z=63211762730 M=3628
A=6627 B=6251 C=7927 X=335393376 Y=7628311574 Z=18018210560 M=6252
A=5653 B=6238 C=7780 X=757055334 Y=6879269466 Z=65460965236 M=1343
A=5219 B=8498 C=7713 X=282582869 Y=5438397677 Z=17969798891 M=1315
A=4077 B=7232 C=5829 X=480358389 Y=7951062060 Z=26948492538 M=2800
A=4927 B=9935 C=8335 X=937096173 Y=4244490699 Z=84326546810 M=3268
A=2015 B=7717 C=9630 X=676013935 Y=4842293176 Z=10301140409 M=5183
A=8618 B=8479 C=5742 X=103350504 Y=4941123988 Z=23869330618 M=9320
A=5531 B=9005 C=9437 X=870991786 Y=6879662848 Z=48400692220 M=8243
A=2063 B=9285 C=5814 X=148619987 Y=7750624529 Z=85616849787 M=1770
A=2824 B=4068 C=7480 X=294558915 Y=4989530796 Z=43204538304 M=7839
A=3127 B=4208 C=8082 X=726407685 Y=2747528896 Z=31358637276 M=3553
A=8127 B=7500 C=8432 X=663782379 Y=8976622780 Z=84618961505 M=4979
A=7345 B=8266 C=5434 X=554726967 Y=8909881278 Z=58110108184 M=2441
A=5243 B=8276 C=8753 X=240383425 Y=6506069338 Z=61713433678 M=4818
A=7753 B=7615 C=9068 X=289157507 Y=5640129559 Z=55107138195 M=6718
A=8113 B=4495 C=5751 X=345627685 Y=4476974193 Z=72707077181 M=8530
A=6815 B=4997 C=8224 X=970117130 Y=3913886402 Z=19592910163 M=1477
A=9385 B=8332 C=8722 X=404136825 Y=2002234421 Z=12352172339 M=6580
A=5449 B=6248 C=5166 X=835342142 Y=7021068237 Z=76486324798 M=8333
A=7977 B=7940 C=5877 X=295319787 Y=2873153486 Z=78211122623 M=1838
A=7121 B=3118 C=8423 X=858363582 Y=7875323775 Z=17127867053 M=5306
A=7422 B=4546 C=5861 X=131280451 Y=8065035774 Z=39720759254 M=3701
A=9522 B=4306 C=7985 X=487653944 Y=1042519054 Z=89074764950 M=2883
A=6057 B=6042 C=9878 X=792627576 Y=6941221837 Z=88928107392 M=9345
A=3226 B=6393 C=5370 X=415168854 Y=5962024626 Z=49798484556 M=7493
A=2000 B=4000 C=8000 X=707829789 Y=1845269529 Z=56706555200 M=2000
A=2797 B=7306 C=6067 X=503616916 Y=2581204321 Z=50814612789 M=2680
A=6292 B=3994 C=6367 X=756788990 Y=6116218637 Z=18142940471 M=3030
A=8313 B=4954 C=5343 X=328469492 Y=1101728336 Z=18163398677 M=5868
A=3954 B=6039 C=5418 X=500006587 Y=6095597282 Z=71638056417 M=8270
A=8711 B=8182 C=8272 X=279032297 Y=1426461042 Z=42065837432 M=8441
A=6537 B=8665 C=6177 X=517949538 Y=1501131799 Z=67000997734 M=9708
A=5589 B=4356 C=5737 X=858920696 Y=6207091502 Z=80566219370 M=8678
A=9165 B=6741 C=5706 X=210367970 Y=5516692204 Z=85904554533 M=2603
A=3355 B=9995 C=6806 X=474046369 Y=1328073664 Z=67863828726 M=2623
A=3181 B=4104 C=5653 X=120427854 Y=9850077623 Z=94644258767 M=4176
A=8250 B=5115 C=6156 X=115838328 Y=9268542927 Z=28450058987 M=5293
A=9014 B=5420 C=8835 X=798040986 Y=2344421112 Z=72262135267 M=2947
A=3363 B=4845 C=8257 X=171790485 Y=6322576211 Z=81662395042 M=8471
A=4380 B=4563 C=8092 X=454325611 Y=2661144969 Z=29641629756 M=6671
A=6804 B=6809 C=6826 X=925155506 Y=6160704101 Z=13204847032 M=1278
A=8198 B=8464 C=8306 X=333135401 Y=2833867867 Z=96587489036 M=6698
A=2297 B=4220 C=9705 X=308319433 Y=5462150626 Z=25322289560 M=2445
A=8161 B=9616 C=5930 X=363462069 Y=6446174148 Z=94889433209 M=3518
A=4266 B=4453 C=9141 X=948798583 Y=1300367137 Z=98919830097 M=8466
A=2474 B=5334 C=8035 X=988738352 Y=1553980080 Z=85642171117 M=8551
A=7605 B=4282 C=8845 X=328144414 Y=2424776385 Z=96980197676 M=1401
A=4929 B=6945 C=9668 X=476580272 Y=4246712389 Z=61419371249 M=7591
A=6607 B=3100 C=8142 X=713004237 Y=3658719118 Z=65703128009 M=8511
A=3140 B=6604 C=5809 X=648610838 Y=7921521932 Z=34395759304 M=8382
A=2560 B=7816 C=6809 X=331036326 Y=1949217134 Z=58979219621 M=7628
A=8457 B=3847 C=6979 X=526506439 Y=2746180019 Z=83801848194 M=1062
A=8475 B=8024 C=6567 X=673425087 Y=8381252819 Z=17688938321 M=7854
A=7678 B=7616 C=8850 X=658203485 Y=2896045894 Z=33357093342 M=9608
A=2278 B=8639 C=8893 X=469765170 Y=2812683001 Z=44123552344 M=5014
A=6927 B=5381 C=9436 X=309715896 Y=8056044900 Z=60116474221 M=5654
A=4223 B=5504 C=5365 X=229123828 Y=7809817223 Z=82888411951 M=2697
A=2749 B=4016 C=9287 X=350173900 Y=8471524458 Z=49894124411 M=8040
A=5964 B=6171 C=9128 X=593931084 Y=7969034767 Z=41510069486 M=2548
A=7025 B=6582 C=6609 X=526954391 Y=6142748607 Z=33077198458 M=5866
A=8561 B=7760 C=7907 X=970077097 Y=6836826276 Z=37756256743 M=1544
A=6454 B=9511 C=9462 X=927655040 Y=5153933273 Z=19037470010 M=6517
A=6208 B=3611 C=5549 X=976445583 Y=8588608838 Z=37021775762 M=4312
A=2598 B=4949 C=7845 X=364535155 Y=9162510831 Z=50513470883 M=3986
A=5217 B=5613 C=9692 X=592371718 Y=6817765039 Z=52807748501 M=3690
A=8288 B=8695 C=8164 X=143972230 Y=5212064499 Z=61660278923 M=1909
A=8997 B=8707 C=8749 X=547795221 Y=5869681056 Z=16912341659 M=6580
A=3822 B=7552 C=7626 X=401725538 Y=2399743559 Z=90046750642 M=1194
A=9767 B=9977 C=9745 X=862145934 Y=8874442167 Z=53129745595 M=8120
A=6856 B=8880 C=9970 X=253725728 Y=9448900616 Z=94096039261 M=6351
A=4169 B=9071 C=7817 X=898905560 Y=8966712904 Z=54150028457 M=3321
A=5126 B=7019 C=8234 X=760972174 Y=5494928916 Z=86079965469 M=2673
A=6972 B=5174 C=7384 X=823789742 Y=5156687874 Z=34402145905 M=8855
A=7612 B=5424 C=8656 X=263509572 Y=2410603287 Z=12990796396 M=5630
A=6555 B=5239 C=6433 X=245869220 Y=8495259832 Z=59558063572 M=4118
A=2450 B=8553 C=6220 X=177580050 Y=5959790492 Z=71157747588 M=3985
A=3119 B=7339 C=9450 X=506635824 Y=9666992558 Z=13810278678 M=1996
A=5535 B=6634 C=5650 X=335172776 Y=6690388364 Z=63286021654 M=4322
A=5786 B=8780 C=8974 X=921085695 Y=7531965113 Z=27835811482 M=5309
A=8403 B=4586 C=6187 X=540401384 Y=8622423348 Z=33873486061 M=2564
A=6644 B=8075 C=8695 X=895904212 Y=5655033425 Z=24857661845 M=5044
A=5106 B=3455 C=7817 X=886119080 Y=4917334060 Z=64828384644 M=7141
A=7438 B=7302 C=7604 X=108967541 Y=3304047041 Z=52728559030 M=7549
A=8899 B=5312 C=9431 X=440940015 Y=9634484921 Z=91347355136 M=8387
A=9998 B=7198 C=6697 X=111983339 Y=9835980573 Z=44216276914 M=4814
A=2472 B=8455 C=7822 X=927304074 Y=9753819318 Z=68352277011 M=2385
A=8885 B=5451 C=9772 X=497817888 Y=4795395465 Z=19798899725 M=8225
A=4118 B=6434 C=6635 X=730575146 Y=3277510268 Z=49983640712 M=7254
A=9804 B=5294 C=5978 X=355713853 Y=9751811868 Z=68971448115 M=1523
A=4366 B=3117 C=6219 X=442937768 Y=1423382629 Z=47393203954 M=7562
A=5218 B=8221 C=5228 X=280220845 Y=4360556557 Z=65097467975 M=3251
A=9595 B=5546 C=9013 X=229843078 Y=4771312012 Z=86309999044 M=7093
A=8108 B=8243 C=6948 X=302166081 Y=3850591067 Z=85487565630 M=8684
A=6066 B=3490 C=7558 X=862040842 Y=4685727903 Z=29656072308 M=6851
A=3730 B=3896 C=9459 X=250406298 Y=5980814803 Z=64590235608 M=4200
A=2734 B=7357 C=6552 X=692862034 Y=1102121436 Z=99116999525 M=2544
A=2206 B=4897 C=6039 X=264893644 Y=9450135932 Z=59036322452 M=9681
A=7744 B=4585 C=7640 X=161925318 Y=1630694773 Z=65717350833 M=4715
A=3807 B=5136 C=7146 X=764439673 Y=5900354412 Z=94254061422 M=6761
A=5819 B=6516 C=9920 X=271175069 Y=5730406515 Z=76532573987 M=3295
A=6979 B=7060 C=5885 X=412625775 Y=8803303820 Z=88441234956 M=3007
A=9877 B=8223 C=5008 X=247238579 Y=6315197737 Z=13905199867 M=5049
A=9323 B=9748 C=9902 X=265414956 Y=7376312670 Z=36821506906 M=3583
A=2309 B=7112 C=8207 X=883439658 Y=6718220752 Z=32395225788 M=6309
A=9247 B=3211 C=5254 X=989880413 Y=3603461364 Z=29578761609 M=6621
A=5916 B=5027 C=7716 X=406839280 Y=4046668197 Z=16452459549 M=7582
A=5700 B=7054 C=9587 X=140364962 Y=7771260086 Z=61624280094 M=2752
A=9584 B=8806 C=5392 X=362288209 Y=8635640699 Z=52816791861 M=8123
A=8383 B=4556 C=9530 X=695020371 Y=9919611781 Z=65653271663 M=9912
A=8915 B=4700 C=7839 X=524440360 Y=8754311575 Z=69337603137 M=5278
A=5956 B=6407 C=9252 X=479727453 Y=8312169704 Z=29752096649 M=4751
A=3805 B=7086 C=9950 X=113761255 Y=7567437190 Z=65248907790 M=6807
A=2404 B=9581 C=6344 X=345945958 Y=1164434066 Z=81965159859 M=2508
A=9567 B=4127 C=8626 X=711007885 Y=8745318641 Z=22449435951 M=3284
A=6565 B=9048 C=7988 X=810245002 Y=9228655671 Z=54176178887 M=4151
A=4226 B=4388 C=5275 X=637771519 Y=8319564257 Z=42608599280 M=2408
A=8272 B=3824 C=9906 X=551210914 Y=9640582144 Z=47115231336 M=6126
A=8969 B=3518 C=7383 X=244594794 Y=9636336673 Z=45636087396 M=4605
A=6828 B=4052 C=5601 X=484597477 Y=7973709709 Z=21741438896 M=7945
A=6071 B=8622 C=7187 X=856255925 Y=1771707551 Z=78259450363 M=5267
A=7230 B=8538 C=7279 X=905642860 Y=4043443541 Z=27575007374 M=5559
A=4175 B=8939 C=9927 X=887057448 Y=4076105997 Z=51400842083 M=8999
A=4272 B=3207 C=5197 X=416437985 Y=1480818439 Z=53019800905 M=4554
A=2617 B=3804 C=5059 X=353636695 Y=4413452542 Z=81748961371 M=2879
A=8640 B=6512 C=8479 X=597121890 Y=4427402008 Z=12018815800 M=1408
A=4329 B=9139 C=9009 X=819689623 Y=8136926332 Z=62648677646 M=3353
A=3810 B=7281 C=8914 X=641713307 Y=6678396648 Z=42220448361 M=1915
A=6606 B=5782 C=9815 X=670959659 Y=8553706326 Z=97744029904 M=5495
A=4411 B=8834 C=9358 X=941118014 Y=1399210608 Z=48030680319 M=7994
A=7990 B=5782 C=5639 X=997964535 Y=5342728290 Z=76689863843 M=4205
A=8247 B=8525 C=5890 X=254651000 Y=9467208861 Z=86219314060 M=3352
A=2451 B=4486 C=6538 X=855553203 Y=1648111180 Z=96752653642 M=1023
A=3294 B=3278 C=9612 X=930302850 Y=8950346336 Z=94641729286 M=2552
A=3665 B=4957 C=7076 X=243063089 Y=2225762339 Z=23957938181 M=3800
A=3518 B=5133 C=9626 X=993331774 Y=4306497178 Z=15505806732 M=6986
A=2388 B=8315 C=7475 X=855520353 Y=2921880051 Z=19087845253 M=3608
A=2883 B=4072 C=8725 X=312282481 Y=7067790209 Z=93838210510 M=9660
A=7298 B=3910 C=7249 X=980289512 Y=1308290239 Z=73454247084 M=6778
A=2399 B=6188 C=5948 X=177797346 Y=9204360215 Z=84588288349 M=9061
A=5358 B=8258 C=7123 X=978014541 Y=3801346985 Z=90909413932 M=3154
A=5023 B=4113 C=5379 X=916535728 Y=8525446275 Z=38765440309 M=9930
A=4542 B=6871 C=5784 X=298269128 Y=1501238334 Z=69090923280 M=7582
A=2104 B=9148 C=6164 X=370723033 Y=1929261711 Z=12683172089 M=2303
A=6811 B=5416 C=7941 X=542915929 Y=6243614893 Z=27122297541 M=2421
A=4506 B=7602 C=7704 X=512815499 Y=2083352037 Z=74235442955 M=7064
A=5152 B=6397 C=8964 X=682478249 Y=8796457563 Z=30162181207 M=7478
A=8859 B=6677 C=8444 X=403321612 Y=1223288739 Z=63886646727 M=5112
A=4737 B=6690 C=8179 X=716331571 Y=1380212730 Z=84485952404 M=8186
A=5590 B=4969 C=6907 X=824655122 Y=4758246435 Z=99978240220 M=8039
A=5735 B=9954 C=9048 X=224714065 Y=3334685943 Z=22104632710 M=2017
A=6755 B=3925 C=5269 X=792837332 Y=9495455425 Z=72636978558 M=5020
A=2285 B=3859 C=7697 X=508805719 Y=5152177678 Z=29414618172 M=5803
A=6489 B=8057 C=5602 X=853767556 Y=5559565377 Z=31396930580 M=2843
A=4301 B=4376 C=6356 X=477104064 Y=7802604828 Z=90151043451 M=8979
A=4845 B=9848 C=6426 X=106626779 Y=2118396622 Z=19217807501 M=2875
A=5822 B=6962 C=6054 X=508893073 Y=9849581382 Z=10551860363 M=6653
A=2729 B=3678 C=8297 X=739498333 Y=4258721298 Z=47599757957 M=2883
A=6218 B=9107 C=5516 X=219922193 Y=6706835375 Z=90404153115 M=7328
A=2945 B=3009 C=5572 X=658967691 Y=4828294175 Z=70660630351 M=8145
A=3803 B=4730 C=6105 X=723067884 Y=3211719018 Z=30598052504 M=6893
A=3306 B=4165 C=8406 X=920737328 Y=6152352899 Z=24646210330 M=4224
A=3787 B=4121 C=5384 X=520949888 Y=1811959282 Z=54952644772 M=8428
A=5061 B=5084 C=6660 X=836953034 Y=2290189750 Z=75434269482 M=2894
A=9706 B=6335 C=5412 X=282021377 Y=5173573727 Z=97946077374 M=7450
A=4040 B=5773 C=9028 X=193672498 Y=9300806181 Z=70220436489 M=6668
A=8617 B=8870 C=7148 X=760862512 Y=5712679899 Z=21178070976 M=3402
A=8359 B=5558 C=6760 X=755615593 Y=6202734626 Z=25518249861 M=8993
A=5237 B=6982 C=5403 X=130792005 Y=8736258079 Z=46571028599 M=8623
A=9016 B=4741 C=6246 X=395370250 Y=4417205408 Z=56623263419 M=4400
A=9004 B=7892 C=5811 X=252704866 Y=4168768212 Z=85641948833 M=3424
A=4267 B=3036 C=9829 X=666948317 Y=9819740160 Z=11104475318 M=6351
A=3737 B=6714 C=5404 X=775754146 Y=8114322891 Z=92182609412 M=5075
A=9540 B=9475 C=8752 X=793248700 Y=2680149732 Z=79838255445 M=6158
A=7086 B=9144 C=7672 X=512019508 Y=3987135226 Z=67493210190 M=7475
A=6494 B=4291 C=8430 X=311270607 Y=3983327476 Z=32225230925 M=3406
A=3352 B=3644 C=9238 X=176078385 Y=7857098615 Z=59983254881 M=2621
A=6368 B=9822 C=9357 X=287331928 Y=8363897770 Z=67023850738 M=2646
A=5614 B=4703 C=5767 X=942579326 Y=8090429503 Z=41152375641 M=4030
A=2690 B=7023 C=6952 X=547260447 Y=1084774141 Z=19153414215 M=7312
A=2603 B=4285 C=8946 X=121388865 Y=1992298798 Z=64962592536 M=2181
